"","spam_train","train","spam"
"1","Dearest one in the lord","TRUE","TRUE"
"2","HOW ARE YOU TODAY","TRUE","TRUE"
"3","YOUR FUND RELEASE","TRUE","TRUE"
"4","From Suzan & Williams","TRUE","TRUE"
"5","From Mrs Kadirat Usman.thanks and remain bless. Urgent please","TRUE","TRUE"
"6","Confirm Your HAIFA WEBMAIL ACCOUNT!!!!","TRUE","TRUE"
"7","PLEASE GET IN TOUCH IS CONFIDENTIAL","TRUE","TRUE"
"8","Personal and Confidential","TRUE","TRUE"
"9","I NEED YOUR HELP PLEASE","TRUE","TRUE"
"10","Dear trusted one","TRUE","TRUE"
"11","AM GLAD I FOUND YOU","TRUE","TRUE"
"12","Awaiting for your response","TRUE","TRUE"
"13","I AM VERY URGENTLY WAITING FOR YOUR RESPONSE.","TRUE","TRUE"
"14","Notification from Chase Bank","TRUE","TRUE"
"15","Notification from Chase Bank","TRUE","TRUE"
"16","CONGRATULATION","TRUE","TRUE"
"17","SECURITY CODE MSW/56B-672GB/COMP1/L","TRUE","TRUE"
"18","Account Security Measures Notification","TRUE","TRUE"
"19","Almighty Blessings","TRUE","TRUE"
"20","OFFICIAL WINNING","TRUE","TRUE"
"21","Yahoo Prize Award.","TRUE","TRUE"
"22","Attn; Certified Beneficiary/Respond Immediately","TRUE","TRUE"
"23","ATTENTION : THE DIRECTOR (URGENT BUSINESS PROPOSAL)","TRUE","TRUE"
"24","Hello Dear,","TRUE","TRUE"
"25","calvary Greetings from Joy Elinor Jacob","TRUE","TRUE"
"26","URGENT BUSINESS ASSISTANCE","TRUE","TRUE"
"27","Hello Dear","TRUE","TRUE"
"28","GET BACK TO ME ASAP","TRUE","TRUE"
"29","URGENT BUSINESS","TRUE","TRUE"
"30","CONGRATULATIONS!","TRUE","TRUE"
"31","Dear Friend, from Kofi Anderson","TRUE","TRUE"
"32","JOINT VENTURE INVESTMENT","TRUE","TRUE"
"33","Award winner 2008 Contact Your Agent","TRUE","TRUE"
"34","CONTRACT PROPOSAL","TRUE","TRUE"
"35","Confidential","TRUE","TRUE"
"36","Important Security Alert","TRUE","TRUE"
"37","WINNING NOTIFICATION FOR CATEGORY 'A' CYBER LOTTO DRAWS","TRUE","TRUE"
"38","Re:Hi","TRUE","TRUE"
"39","Hello dear one","TRUE","TRUE"
